attemptType,candidateId,correctionCampaignId,exitPolicyHash,exitPolicyMode,exitPolicyParentTrialId,exitPolicyVersion,familyId,parentTrialId,resultsRead,strategyDefinitionHash,trialId,variantId
,s01_bear_idiosyncratic_selloff_recovery_4h,,exit_policy_aa415db5c0527ec941e87a41eb3779413b2dce6cb6577f00356823fb5be56ba3,hybrid,,advisory_r_exit_policy_v1,idiosyncratic_selloff_recovery,,False,advisory_r_strategy_062a7c3c3bd7b9f8f741c9506a40efabd3225bd57645f093eda0f86901ac2c37,advisory_r_trial_af9ecbd679be4cce0a52effd3df495b582f0f372d9a7d1c4cad498ea88c33ac0,S01
,s02_btc_lead_lag_continuation_1h,,exit_policy_be7abc5c2ba80c4a153513cf73cccd901f13b09e1cd95a3f4e39d088b5b8e6d6,partial_then_trailing,advisory_r_family_trial_26ad8436634f6b3748496b585bd921a940a6f8f2cd547a548069a1eb8dcfa52c,advisory_r_exit_policy_v1,btc_lead_lag,,False,advisory_r_strategy_5855ef4eb97bc6969ebe1b90eaad1642f809ef0628d49e2e947de99e74e7c36b,advisory_r_trial_cf48283c3df049d561525c380ddfcb3c7467b33d31e9b19df0765a90838534c0,S02
,s03_btc_lead_lag_overreaction_reversion_1h,,exit_policy_68c41d73aaebc99d614cb65d5ebcc34dc9f693cc9ba02b86284f9ca5f0f7333d,structure_or_time,advisory_r_family_trial_26ad8436634f6b3748496b585bd921a940a6f8f2cd547a548069a1eb8dcfa52c,advisory_r_exit_policy_v1,btc_lead_lag,,False,advisory_r_strategy_0f36d1f1b2dbc6b750c5b33eb7b19991d71252634070f8d25b57d8a88eb61afc,advisory_r_trial_140fe9236af2f5e5623d39dce8fd8c43e99b32b1ea9d232b975a90de48ea6f57,S03
,s04_pair_residual_mean_reversion_1h,,exit_policy_933142f80308979beef57a8b5e9e41b8b015d5acc79b0d140e70c8c4689e3fff,structure_or_time,,advisory_r_exit_policy_v1,pair_residual_mean_reversion,,False,advisory_r_strategy_4ac37414b3a96f50a841700c6416e094810a04693ff29054fee87df84bb81948,advisory_r_trial_2807f21fe98cb5e4500f2d306b988ec1c831739634737c1b9fb3a3efa39c26b7,S04
,s05_correlation_break_recovery_4h,,exit_policy_b5e45f1e506c0a123984d25bca0bab6f7cb9892056096afd73789227ca105f22,hybrid,advisory_r_family_trial_dcb1726a01da2dbfd0cf239c934325ad2fb33ab24f96546b1d6da8088e96ee66,advisory_r_exit_policy_v1,correlation_break,,False,advisory_r_strategy_a651fd6a9ac22650ebe20577fd3e9143816bbc9e2214de21db09e4a8f61b7955,advisory_r_trial_53f0ee45dbeb24e45a177bc9429629529252a45011d54ef2d27e827f283c34ff,S05
,s06_correlation_break_decoupling_4h,,exit_policy_6ec878a8cba8e29f82a7210202007cb539390ddcb146c91bcccd1fe009e2996c,partial_then_trailing,advisory_r_family_trial_dcb1726a01da2dbfd0cf239c934325ad2fb33ab24f96546b1d6da8088e96ee66,advisory_r_exit_policy_v1,correlation_break,,False,advisory_r_strategy_4926a1c885fa7faa2a521f8c67396bdca94500a4d57aa53377a0f97a04fa8668,advisory_r_trial_14a8a797cac727799f46a02a3516c73890ea7bc775e5348f6b4c08b2f1ddbc01,S06
,s07_volatility_shock_asymmetry_4h,,exit_policy_4816d1dde152a188c7ec58e2e0bd100a04845c349684af701105588f305d7401,partial_then_trailing,,advisory_r_exit_policy_v1,volatility_shock_asymmetry,,False,advisory_r_strategy_7f6747a8eb0e7e2bf85f19ae15a1611ef68357539793fc2bb49ecfa08eda62a8,advisory_r_trial_ac662353031a89840c18634a8b4abe98201f54b6deff4b2664616cf125f2226c,S07
,s08_utc_session_transition_1h,,exit_policy_23aa1ea819f6ffa5d4c59933b5f92152299d901657014b0cdda6ad6b04183aee,fixed_r,,advisory_r_exit_policy_v1,utc_session_transition,,False,advisory_r_strategy_67cefcd989bf633c8f6c802859f3e86fc3fb61803bbf2679b401fb59c4bdf816,advisory_r_trial_6f2234800c23cf53addf5b22135cf32300f7e297456b80550cd22c7789db7be1,S08
,s09_beta_defensive_rotation_4h,,exit_policy_22378d4be22c861b2b0a075295e070058943f39ab509c8188a4a2532e22b9607,structure_or_time,,advisory_r_exit_policy_v1,beta_defensive_rotation,,False,advisory_r_strategy_e87edd3fa47f037a68ad3105bbd834e28e41a3ffdf5d02dd3756e8025d3ffc7c,advisory_r_trial_5e6008fe67987279458c8ae29a6958b8f94d2140b81df07d820f9b6308c759a2,S09
,s10_orthogonal_weak_signal_matrix_4h,,exit_policy_5120f20692a4377a7c5a925044e3e829afcce9b46dc50d8afd7b43881a0402e8,structure_or_time,,advisory_r_exit_policy_v1,orthogonal_weak_signal_matrix,,False,advisory_r_strategy_75352811bf3cf4dfbb219dc07326b141582ba4e4cca66f333d2d7c0f22ea16b9,advisory_r_trial_352aabdd32bec26629900fce0c38fcf33a29f45e74ce31711ac8ee06e5726b24,S10
implementation_correction,s01_bear_idiosyncratic_selloff_recovery_4h,advisory_r_v16_correction_8ec939e8f7ce17a3d259c72c134d02,exit_policy_aa415db5c0527ec941e87a41eb3779413b2dce6cb6577f00356823fb5be56ba3,hybrid,,advisory_r_exit_policy_v1,idiosyncratic_selloff_recovery,advisory_r_trial_af9ecbd679be4cce0a52effd3df495b582f0f372d9a7d1c4cad498ea88c33ac0,True,advisory_r_strategy_062a7c3c3bd7b9f8f741c9506a40efabd3225bd57645f093eda0f86901ac2c37,advisory_r_correction_trial_af2903936b1f57d22490bcc7607cb2f46fce7667a796743c74185e5d07937335,S01
