strategyCandidateId,demoReleaseId,contractHash,timeframe,family,direction,originalResearchApproved,demoReleaseMode,overrideActor,bypassedEvidence,originalTradeCount,replayTradeCount,originalProfitFactor,replayProfitFactor,originalExpectancyR,replayExpectancyR,originalTotalR,replayTotalR,replayStatus
v13_7_20_lf_research_candidate_089,demo_release_top100_1e2b32a9213262e128a96e1c3810a93c,console_contract_6c7cc07bdc1eb3a2888bab03abcf55efb4543f7b27f47bfaf89c60a432524338,1d,breakout,long,True,experimental_override,user_manual,local_forward_samples,319,319,1.5035,1.5035,,0.251605,80.2621,80.2621,research_replay_only
v13_7_20_lf_research_candidate_090,demo_release_top100_600814e4c07d7f8edf4b057f0e6137f9,console_contract_6e70ddfa27cd9cb033f676c93812d95e81417cbae4c9e12a50c3872829805ba6,1d,squeeze_breakout,long,True,experimental_override,user_manual,local_forward_samples,207,207,1.3856,1.3856,,0.196571,40.6901,40.6901,research_replay_only
v13_7_20_lf_research_candidate_108,demo_release_top100_598f3d38a75d69b6a44e2638d2bef722,console_contract_fb5615f2c823dc71413cb187d4918c9c9590caf980d83cffbdd5f645dd08359e,1d,squeeze_breakout,long,True,experimental_override,user_manual,local_forward_samples,220,220,1.3152,1.3152,,0.16576,36.4671,36.4672,research_replay_only
v13_7_20_lf_research_candidate_115,demo_release_top100_31205f75acf4ea56bb42549c0d02dabc,console_contract_6cfdc62d14706e0aa951a0270cf731e157ad1af3ee467582a13e946dc149bd5c,1d,mean_reversion,long,True,experimental_override,user_manual,local_forward_samples,38,38,2.2125,2.2125,,0.554302,21.0635,21.0635,research_replay_only
v13_7_20_lf_research_candidate_117,demo_release_top100_b8d58642cb97e8faf7ce98a24b86b395,console_contract_b040995c2db9c24115eaa62014f436b855aa6bb736ea88992561e9a793bda366,1d,mean_reversion,long,True,experimental_override,user_manual,local_forward_samples,36,36,2.4289,2.4289,,0.605504,21.7981,21.7981,research_replay_only
v13_7_40_1h_short_rejection_2021_asset_filter_top10,demo_release_top100_2be7d19a5cc6e41587e180a3417674ae,console_contract_4c9f3cae7b2f623ee7cb808b9851818c0cc91cec96a8e1d3f903a6d5353b6643,1h,short_rejection,short,True,experimental_override,user_manual,local_forward_samples,131,131,1.685,1.685,0.262404,0.262404,34.3749,34.3749,research_replay_only
v13_7_40_1h_short_rejection_2077_asset_filter_top8,demo_release_top100_169bc383d8b31b9d90d3dc9eaf904f90,console_contract_24eb37cf3a5bf850549e59fa4b9909c241f456e21e9ebea9c118504b30051068,1h,short_rejection,short,True,experimental_override,user_manual,local_forward_samples,175,175,1.5545,1.5545,0.299841,0.299841,52.4722,52.4722,research_replay_only
v13_7_40_1h_short_rejection_2148_asset_filter_top10,demo_release_top100_9c750252c0095acc11b6393959eb97f5,console_contract_2ddc7e979373f17ba468c18b0083fd21ad30f4e14a3fe3c9f8de287dde4f9801,1h,short_rejection,short,True,experimental_override,user_manual,local_forward_samples,219,219,1.4348,1.4348,0.227261,0.227261,49.7702,49.7702,research_replay_only
v13_7_40_1h_short_rejection_2149_asset_filter_top10,demo_release_top100_101a9c3a91a1199213edd0454f33d033,console_contract_861e8257a0997e0ea5f3a82aff039b251da0f7ad1692b825da461e0438cf11cd,1h,short_rejection,short,True,experimental_override,user_manual,local_forward_samples,219,219,1.517,1.517,0.281784,0.281784,61.7107,61.7107,research_replay_only
v13_7_40_1h_short_rejection_2150_asset_filter_top10,demo_release_top100_3b97dd6c2bc2054b3a11f8f4a5f7cf07,console_contract_6a1e89e205a02e7c68ef113ae162f23539ce5614ad219e9d59c9c1fad7e894b6,1h,short_rejection,short,True,experimental_override,user_manual,local_forward_samples,219,219,1.5112,1.5112,0.290469,0.290469,63.6127,63.6127,research_replay_only
