capabilityId,dataType,documentationUrl,earliestAvailable,endpoint,exchange,formalHistoricalEligible,historicalDepth,knownLimitations,latestAvailable,pagination,publicOnly,rateLimit,requiresAuth,symbolCoverage
okx_history_candles,ohlcv,https://www.okx.com/docs-v5/en/,,GET /api/v5/market/history-candles,OKX,True,recent_years,"[""API documentation does not promise a fixed earliest date per instrument""]",current,after/before timestamp; maximum 300 rows,True,20 requests per 2 seconds per IP,False,active OKX spot/futures/swap instruments
okx_historical_download_ohlc,ohlcv_bulk,https://www.okx.com/en-gb/historical-data,2023-07,Historical Market Data / Candlestick download,OKX,True,from_2023_07,"[""archive coverage must be verified per instrument and partition""]",published_archives,download partitions,True,website download service; no REST limit published,False,published OKX archive coverage
okx_historical_download_funding,funding,https://www.okx.com/en-gb/historical-data,2022-03,Historical Market Data / Funding rate download,OKX,True,from_2022_03,"[""archive coverage must be verified per instrument and partition""]",published_archives,download partitions,True,website download service; no REST limit published,False,published OKX perpetual instruments
okx_open_interest_current,open_interest,https://www.okx.com/docs-v5/en/,,GET /api/v5/public/open-interest,OKX,False,current_snapshot,"[""public endpoint exposes current open interest, not long historical series""]",current,none; current snapshot,True,20 requests per 2 seconds per IP,False,active OKX futures/swap/option instruments
okx_liquidation_orders_recent,liquidation,https://www.okx.com/docs-v5/en/,,GET /api/v5/public/liquidation-orders,OKX,False,recent_only,"[""insufficient documented depth for multi-year formal validation""]",recent,before/after timestamp,True,20 requests per 2 seconds per IP,False,supported OKX derivatives instruments
okx_instruments_current,instrument_lifecycle,https://www.okx.com/docs-v5/en/,,GET /api/v5/public/instruments,OKX,False,current_snapshot,"[""does not reconstruct historical point-in-time tradable universe""]",current,instrument type query,True,20 requests per 2 seconds per IP,False,current OKX instruments
binance_continuous_klines,ohlcv,https://developers.binance.com/en/docs/catalog/core-trading-derivatives-trading-usd-s-m-futures/api/rest-api/market-data,,GET /fapi/v1/continuousKlines,Binance,True,exchange_retained_history,"[""earliest coverage varies by contract""]",current,startTime/endTime; maximum 1500 rows,True,IP request weight based on limit,False,Binance USD-M continuous contracts
binance_funding_history,funding,https://developers.binance.com/en/docs/catalog/core-trading-derivatives-trading-usd-s-m-futures/api/rest-api/market-data,,GET /fapi/v1/fundingRate,Binance,True,exchange_retained_history,"[""coverage begins at each instrument's own funding history""]",current,startTime/endTime; maximum 1000 rows,True,shared 500 requests per 5 minutes per IP,False,Binance USD-M perpetual instruments
binance_open_interest_history,open_interest,https://developers.binance.com/en/docs/catalog/core-trading-derivatives-trading-usd-s-m-futures/api/rest-api/market-data,rolling_1_month,GET /futures/data/openInterestHist,Binance,False,latest_1_month,"[""official endpoint limits history to the latest one month""]",current,startTime/endTime; maximum 500 rows,True,1000 requests per 5 minutes per IP,False,Binance USD-M instruments with statistics
binance_basis_history,basis,https://developers.binance.com/en/docs/catalog/core-trading-derivatives-trading-usd-s-m-futures/api/rest-api/market-data,rolling_30_days,GET /futures/data/basis,Binance,False,latest_30_days,"[""official endpoint limits history to the latest 30 days""]",current,startTime/endTime; maximum 500 rows,True,"IP request weight 0, subject to general limits",False,Binance USD-M pairs and contract types
binance_exchange_info_current,instrument_lifecycle,https://developers.binance.com/en/docs/catalog/core-trading-derivatives-trading-usd-s-m-futures/api/rest-api/market-data,,GET /fapi/v1/exchangeInfo,Binance,False,current_snapshot,"[""current rules do not reconstruct historical PIT membership or delist state""]",current,none,True,IP weight 1,False,current Binance USD-M instruments
