strategyId,strategyName,strategyFamily,status,identitySource,sourceType,direction,timeframe,evidenceLevel,evidenceCompleteness,evidenceArtifactCount,tradeEvidenceAvailable,workflowRunId,failureCategory,failureSummary
freqtrade::AlphaPilotBatchA_EMATrendLong4H,AlphaPilotBatchA_EMATrendLong4H,AlphaPilotBatchA_EMATrendLong4H,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,,1,1.0,16,True,,,
freqtrade::AlphaPilotBatchB_EMATrendShort4H,AlphaPilotBatchB_EMATrendShort4H,AlphaPilotBatchB_EMATrendShort4H,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_short,,1,1.0,17,True,,,
freqtrade::AlphaPilotBatchC_BreakoutRetestLong4H,AlphaPilotBatchC_BreakoutRetestLong4H,AlphaPilotBatchC_BreakoutRetestLong4H,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,,1,1.0,16,True,,,
freqtrade::AlphaPilotBatchD_BreakdownRetestShort4H,AlphaPilotBatchD_BreakdownRetestShort4H,AlphaPilotBatchD_BreakdownRetestShort4H,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_short,,1,1.0,17,True,,,
freqtrade::AlphaPilotBatchE_BollingerReversionLong4H,AlphaPilotBatchE_BollingerReversionLong4H,AlphaPilotBatchE_BollingerReversionLong4H,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,,1,1.0,16,True,,,
freqtrade::AlphaPilotBatchF_BollingerReversionShort4H,AlphaPilotBatchF_BollingerReversionShort4H,AlphaPilotBatchF_BollingerReversionShort4H,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_short,,1,1.0,18,True,,,
freqtrade::AlphaPilotBatchG_RelativeStrengthLong4H,AlphaPilotBatchG_RelativeStrengthLong4H,AlphaPilotBatchG_RelativeStrengthLong4H,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,,1,1.0,16,True,,,
freqtrade::AlphaPilotBatchH_VolatilityCompressionBreakout4H,AlphaPilotBatchH_VolatilityCompressionBreakout4H,AlphaPilotBatchH_VolatilityCompressionBreakout4H,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,,1,1.0,19,True,,,
freqtrade::AlphaPilotDynamicRegimeV01,AlphaPilotDynamicRegimeV01,AlphaPilotDynamicRegimeV01,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,,1,1.0,17,True,,,
freqtrade::AlphaPilotLowFrequencyDirectional4HV01,AlphaPilotLowFrequencyDirectional4HV01,AlphaPilotLowFrequencyDirectional4HV01,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_short,,1,1.0,17,True,,,
freqtrade::AlphaPilotShortRejection1HV01,AlphaPilotShortRejection1HV01,AlphaPilotShortRejection1HV01,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_short,,1,1.0,20,True,,,Expanded short-only backtest suffered near-total loss with excessive trade count.
freqtrade::AlphaPilotTrendPullback1HV01,AlphaPilotTrendPullback1HV01,AlphaPilotTrendPullback1HV01,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,,1,1.0,19,True,,,
freqtrade::AlphaPilotVolumeReboundV01,AlphaPilotVolumeReboundV01,AlphaPilotVolumeReboundV01,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,15m,1,1.0,24,True,,,Expanded validation remains negative after slippage adjustment; rejected for Dry-run.
freqtrade::AlphaPilotVolumeReboundV02ATrendStrict,AlphaPilotVolumeReboundV02ATrendStrict,AlphaPilotVolumeReboundV02ATrendStrict,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,15m,1,1.0,16,True,,,"Smoke comparison improved relatively, but the candidate was not included in the successful expanded validation set and is not approved."
freqtrade::AlphaPilotVolumeReboundV02BVolumeQuality,AlphaPilotVolumeReboundV02BVolumeQuality,AlphaPilotVolumeReboundV02BVolumeQuality,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,15m,1,1.0,18,True,,,Expanded validation reduced trade count but remained deeply negative after slippage.
freqtrade::AlphaPilotVolumeReboundV02CExitCleanup,AlphaPilotVolumeReboundV02CExitCleanup,AlphaPilotVolumeReboundV02CExitCleanup,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,15m,1,1.0,18,True,,,"Best relative expanded candidate, but still deeply negative after slippage and not usable for Dry-run."
freqtrade::AlphaPilotVolumeReboundV02DEarlyFailureExit,AlphaPilotVolumeReboundV02DEarlyFailureExit,AlphaPilotVolumeReboundV02DEarlyFailureExit,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,15m,1,1.0,16,True,,,Failed the V13.4.4 smoke comparison gate and was eliminated before expanded validation.
freqtrade::AlphaPilotVolumeReboundV02EPairRiskWatchlist,AlphaPilotVolumeReboundV02EPairRiskWatchlist,AlphaPilotVolumeReboundV02EPairRiskWatchlist,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,15m,1,1.0,18,True,,,Pair-risk changes did not improve enough in expanded validation and remain negative after slippage.
freqtrade::BenchmarkBollingerRebound,BenchmarkBollingerRebound,BenchmarkBollingerRebound,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,,1,1.0,16,True,,,"Relative best, but still negative with high drawdown and profit factor below 1."
freqtrade::BenchmarkEMATrend,BenchmarkEMATrend,BenchmarkEMATrend,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,,1,1.0,16,True,,,Excessive trade frequency and repeated losses overwhelm any simple rule edge.
freqtrade::BenchmarkMACDVolume,BenchmarkMACDVolume,BenchmarkMACDVolume,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,,1,1.0,16,True,,,Excessive trade frequency and repeated losses overwhelm any simple rule edge.
freqtrade::BenchmarkRSIMeanReversion,BenchmarkRSIMeanReversion,BenchmarkRSIMeanReversion,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,,1,1.0,17,True,,,Excessive trade frequency and repeated losses overwhelm any simple rule edge.
freqtrade::BenchmarkTD9Exhaustion,BenchmarkTD9Exhaustion,BenchmarkTD9Exhaustion,archived_legacy_evidence,legacy_freqtrade_class,legacy_freqtrade_backtest,long_or_unspecified,,1,1.0,16,True,,,Very high cost sensitivity after slippage stress.
strategy_version_088bf157d71a8d1dd0112e7ad49342f5bca594e8c49755f08b8d692b08941e1e,Alpha191 加密因子观察策略,alpha191_crypto_observer,archived,registry_version,legacy_research_import,both,4h,2,1.0,1,False,workflow_run_7eaa0952ff123eec4d779a08cdd3d34f3b6d0638bf8b175d927054e1766f46a2,strategy_performance,"Backtest gates failed: costStress, maximumDrawdown, minimumProfitFactor, positiveAverageNetR"
legacy::rejected_benchmark_martingale,Rejected Benchmark Martingale,benchmark_suite,rejected,legacy_status_archive,legacy_status_archive,,1h,2,0.3,0,False,,,Martingale or inverse averaging creates unacceptable tail risk and conflicts with AlphaPilot risk-first principles.
strategy_version_2c62fea97eaaab20178814e83921e7bad9c869ba35b6a494548fc89be3a4d406,1D 趋势突破回踩 ATR2.0 · 自动优化 1/3,event_1d_breakout_retest_atr20_v1,archived,registry_version,bounded_auto_optimization_v1,long,1d,2,0.0,1,False,workflow_run_5932576bad68be30b5bb334152bc9a3e901f3b73da8c67762e7333389dc58836,strategy_performance,Backtest gates failed: selectionMaximumDrawdown
strategy_version_b854fd47e5a99350c6df96956a21f2030bb2250f8d8e7f10afb6306e6c6d0245,1D 趋势突破回踩 ATR2.0 · 自动优化 1/3 · 自动优化 2/3,event_1d_breakout_retest_atr20_v1,archived,registry_version,bounded_auto_optimization_v1,long,1d,2,0.0,1,False,workflow_run_7859db300258d5a41d256d97b4721c278a4532cad11175b63d38113ea74798c2,strategy_performance,Backtest gates failed: selectionMaximumDrawdown
strategy_version_c0afa97d531616a24d020e2aad5acd5df1168b41e7acbccab330549821aaa7d8,1D 趋势突破回踩 ATR2.0,event_1d_breakout_retest_atr20_v1,archived,registry_version,cross_timeframe_research_pack_v13_27_18,long,1d,2,1.0,1,False,workflow_run_d362237851d7942b0dfaee4db8482f1a7f9444734057ec67fb7c7b8edc172c79,strategy_performance,Backtest gates failed: maximumDrawdown
strategy_version_ff1f066c0bc682663457e4e8ef7cc1d6e46331c29c00ffe56323177984dceb60,1D 趋势突破回踩 ATR2.0 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_1d_breakout_retest_atr20_v1,archived,registry_version,bounded_auto_optimization_v1,long,1d,2,0.0,1,False,workflow_run_199db99c22b4fa617a239c8108ba7d1aa0833b9b4088c15ff16a9e4d89fb57ac,strategy_performance,Backtest gates failed: selectionMaximumDrawdown
strategy_version_0dc7701b4b48a6d2d3eaf727bfec274b5ca93016a5ea9aa862ffcc7f3ebe9b1b,1D 广谱压缩释放 ATR2.0,event_1d_broad_squeeze_breakout_atr20_v1,archived,registry_version,cross_timeframe_research_pack_v13_27_18,long,1d,2,1.0,1,False,workflow_run_14f95c36dfaffc0f1c33c75c89ae95c34ceb3bbca933be692fa050a2215c3ce0,strategy_performance,Backtest gates failed: maximumDrawdown
strategy_version_aff7a9c0495d809daa6c0df66c7432e2a79bc6e9bfee1cf592b086c7d7e421c5,1D 广谱压缩释放 ATR2.0 · 自动优化 1/3 · 自动优化 2/3,event_1d_broad_squeeze_breakout_atr20_v1,archived,registry_version,bounded_auto_optimization_v1,long,1d,2,0.0,1,False,workflow_run_e1898f57191f926c653a1430dec0a52ed5ce6aa6e71e014627ef2938c9e433b8,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_f5f3ea08e1e34ad1297339ae7f219a26ec6e39566258d9e40df48a00a123401b,1D 广谱压缩释放 ATR2.0 · 自动优化 1/3,event_1d_broad_squeeze_breakout_atr20_v1,archived,registry_version,bounded_auto_optimization_v1,long,1d,2,0.0,1,False,workflow_run_972a367385000ed68b127261586357b939ffb4f99e0f81c4e141e1503ab5b713,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_ff49c87e1ec6c73b2560d6ca04dde48b5ebed7ed2c5feefc4cc8a99dd020d362,1D 广谱压缩释放 ATR2.0 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_1d_broad_squeeze_breakout_atr20_v1,archived,registry_version,bounded_auto_optimization_v1,long,1d,2,0.0,1,False,workflow_run_560b860dc57a1a73c804f27e7cb72b18de0c5609d37e75d8b2eb0a67c29a559e,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_0dab3d1e18d9ca2b7e134d10b5da056adb0955d1ac6dfb018c287f926dbb9ce2,1D 超卖扫低收回 ATR1.0 影子 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_1d_oversold_sweep_reclaim_atr10_v1,archived,registry_version,bounded_auto_optimization_v1,long,1d,2,0.0,1,False,workflow_run_602d68239f21b9d03a3153268555afc06d394da17a10ea935b6ff805aa557ea3,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_1373c55a0b9b420840b6d01374e174c021527f190c8a5b2ce53888996b3dd8bc,1D 超卖扫低收回 ATR1.0 影子 · 自动优化 1/3 · 自动优化 2/3,event_1d_oversold_sweep_reclaim_atr10_v1,archived,registry_version,bounded_auto_optimization_v1,long,1d,2,0.0,1,False,workflow_run_0cc7afcbbb0de51f375d292a121bee8c8292a8d6efd1706985e5ef41829a470c,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_3b81321505e0f36008a1b3930cb7f73131dbea7bcc010bec1a9dcd0e08868343,1D 超卖扫低收回 ATR1.0 影子 · 自动优化 1/3,event_1d_oversold_sweep_reclaim_atr10_v1,archived,registry_version,bounded_auto_optimization_v1,long,1d,2,0.0,1,False,workflow_run_1cfad3b8f80946e8fcc939c1fe0a0ac058e8f8f21fdf72f07e8e907841be9ae4,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_9177137252db0033a4ce8d84195f3eefa0eca2762d49257fed2cd35a6fad647d,1D 超卖扫低收回 ATR1.0 影子,event_1d_oversold_sweep_reclaim_atr10_v1,archived,registry_version,cross_timeframe_research_pack_v13_27_18,long,1d,2,1.0,1,False,workflow_run_e0d9c4ee9965ccdff8feba7e59c76a3ac15650d5e90e016ab1f153e8a9066987,strategy_performance,"Backtest gates failed: maximumDrawdown, minimumProfitFactor, positiveAverageNetR"
