policyId,month,netR
raw_baseline,2020-02,-1.084125
raw_baseline,2020-06,2.630208
raw_baseline,2020-07,8.485051
raw_baseline,2020-08,-1.010562
raw_baseline,2020-09,4.256671
raw_baseline,2020-10,0.641023
raw_baseline,2020-11,4.775833
raw_baseline,2020-12,1.786766
raw_baseline,2021-02,3.979843
raw_baseline,2021-03,0.110725
raw_baseline,2021-04,7.857
raw_baseline,2021-05,0.879653
raw_baseline,2021-06,-1.070593
raw_baseline,2021-07,0.841985
raw_baseline,2021-08,-1.866747
raw_baseline,2021-09,-3.679543
raw_baseline,2021-10,3.922346
raw_baseline,2021-11,-0.130469
raw_baseline,2021-12,0.55888
raw_baseline,2022-01,2.724835
raw_baseline,2022-02,3.848352
raw_baseline,2022-03,2.698327
raw_baseline,2022-04,4.09456
raw_baseline,2022-05,-2.73185
raw_baseline,2022-06,1.805486
raw_baseline,2022-07,0.732253
raw_baseline,2022-08,6.428741
raw_baseline,2022-09,-1.618842
raw_baseline,2022-10,2.257677
raw_baseline,2022-11,-0.96746
raw_baseline,2022-12,-2.952713
raw_baseline,2023-01,0.955061
raw_baseline,2023-02,-0.416166
raw_baseline,2023-03,1.868775
raw_baseline,2023-04,-2.250561
raw_baseline,2023-05,0.731451
raw_baseline,2023-06,4.220263
raw_baseline,2023-07,-1.649719
raw_baseline,2023-08,-6.975673
raw_baseline,2023-09,1.320722
raw_baseline,2023-10,13.693925
raw_baseline,2023-11,0.831004
raw_baseline,2023-12,0.149757
raw_baseline,2024-01,-4.603689
raw_baseline,2024-02,22.748256
raw_baseline,2024-03,-1.379119
raw_baseline,2024-04,3.307107
raw_baseline,2024-05,3.537238
raw_baseline,2024-06,-6.945992
raw_baseline,2024-07,-2.242987
raw_baseline,2024-08,3.750256
raw_baseline,2024-09,-4.533289
raw_baseline,2024-10,-2.582879
raw_baseline,2024-11,16.445467
raw_baseline,2024-12,0.468869
raw_baseline,2025-01,-0.341583
raw_baseline,2025-02,-2.346959
raw_baseline,2025-03,1.657488
raw_baseline,2025-04,-0.763376
raw_baseline,2025-05,-1.905255
raw_baseline,2025-06,3.273957
raw_baseline,2025-07,12.176583
raw_baseline,2025-08,-5.701042
raw_baseline,2025-09,16.721989
raw_baseline,2025-10,-0.314917
raw_baseline,2025-11,4.267301
raw_baseline,2025-12,-0.140938
raw_baseline,2026-01,0.642584
raw_baseline,2026-02,1.807476
raw_baseline,2026-03,2.510367
raw_baseline,2026-04,-0.990735
raw_baseline,2026-05,4.57055
raw_baseline,2026-06,0.424138
pair_7d_cooldown,2020-02,-1.084125
pair_7d_cooldown,2020-06,0.789455
pair_7d_cooldown,2020-07,6.898934
pair_7d_cooldown,2020-08,-1.010562
pair_7d_cooldown,2020-09,1.030711
pair_7d_cooldown,2020-10,1.807703
pair_7d_cooldown,2020-11,5.848132
pair_7d_cooldown,2020-12,1.786766
pair_7d_cooldown,2021-02,3.979843
pair_7d_cooldown,2021-03,0.110725
pair_7d_cooldown,2021-04,8.863339
pair_7d_cooldown,2021-05,0.879653
pair_7d_cooldown,2021-06,-1.070593
pair_7d_cooldown,2021-07,1.911399
pair_7d_cooldown,2021-08,-0.859064
pair_7d_cooldown,2021-09,-2.624187
pair_7d_cooldown,2021-10,4.92902
pair_7d_cooldown,2021-11,1.073323
pair_7d_cooldown,2021-12,0.55888
pair_7d_cooldown,2022-01,2.724835
pair_7d_cooldown,2022-02,3.848352
pair_7d_cooldown,2022-03,2.698327
pair_7d_cooldown,2022-04,5.21705
pair_7d_cooldown,2022-05,-2.73185
pair_7d_cooldown,2022-06,1.805486
pair_7d_cooldown,2022-07,0.732253
pair_7d_cooldown,2022-08,5.694501
pair_7d_cooldown,2022-09,-0.517717
pair_7d_cooldown,2022-10,2.257677
pair_7d_cooldown,2022-11,0.196202
pair_7d_cooldown,2022-12,-4.749656
pair_7d_cooldown,2023-01,0.955061
pair_7d_cooldown,2023-02,-3.966853
pair_7d_cooldown,2023-03,1.868775
pair_7d_cooldown,2023-04,-2.518325
pair_7d_cooldown,2023-05,1.751997
pair_7d_cooldown,2023-06,4.220263
pair_7d_cooldown,2023-07,-0.629441
pair_7d_cooldown,2023-08,-7.687852
pair_7d_cooldown,2023-09,-1.594588
pair_7d_cooldown,2023-10,13.693925
pair_7d_cooldown,2023-11,0.831004
pair_7d_cooldown,2023-12,1.159157
pair_7d_cooldown,2024-01,-4.603689
pair_7d_cooldown,2024-02,23.759883
pair_7d_cooldown,2024-03,-1.379119
pair_7d_cooldown,2024-04,3.307107
pair_7d_cooldown,2024-05,3.537238
pair_7d_cooldown,2024-06,-5.744329
pair_7d_cooldown,2024-07,-2.242987
pair_7d_cooldown,2024-08,3.750256
pair_7d_cooldown,2024-09,-4.533289
pair_7d_cooldown,2024-10,-3.140689
pair_7d_cooldown,2024-11,14.458715
pair_7d_cooldown,2024-12,1.475755
pair_7d_cooldown,2025-01,-0.341583
pair_7d_cooldown,2025-02,-2.346959
pair_7d_cooldown,2025-03,2.841737
pair_7d_cooldown,2025-04,-0.763376
pair_7d_cooldown,2025-05,-1.905255
pair_7d_cooldown,2025-06,3.273957
pair_7d_cooldown,2025-07,12.176583
pair_7d_cooldown,2025-08,-5.701042
pair_7d_cooldown,2025-09,17.735735
pair_7d_cooldown,2025-10,-0.314917
pair_7d_cooldown,2025-11,4.267301
pair_7d_cooldown,2025-12,-0.140938
pair_7d_cooldown,2026-01,0.642584
pair_7d_cooldown,2026-02,1.807476
pair_7d_cooldown,2026-03,2.510367
pair_7d_cooldown,2026-04,-0.990735
pair_7d_cooldown,2026-05,4.57055
pair_7d_cooldown,2026-06,0.424138
pair_14d_cooldown,2020-02,-1.084125
pair_14d_cooldown,2020-06,-1.030742
pair_14d_cooldown,2020-07,6.898934
pair_14d_cooldown,2020-08,-1.010562
pair_14d_cooldown,2020-09,1.030711
pair_14d_cooldown,2020-10,-0.231162
pair_14d_cooldown,2020-11,2.853585
pair_14d_cooldown,2020-12,1.786766
pair_14d_cooldown,2021-02,3.979843
pair_14d_cooldown,2021-03,0.110725
pair_14d_cooldown,2021-04,6.875061
pair_14d_cooldown,2021-05,0.879653
pair_14d_cooldown,2021-06,-1.070593
pair_14d_cooldown,2021-07,1.911399
pair_14d_cooldown,2021-08,-0.859064
pair_14d_cooldown,2021-09,-3.533329
pair_14d_cooldown,2021-10,4.92902
pair_14d_cooldown,2021-11,2.237732
pair_14d_cooldown,2021-12,0.55888
pair_14d_cooldown,2022-01,2.724835
pair_14d_cooldown,2022-02,3.848352
pair_14d_cooldown,2022-03,2.698327
pair_14d_cooldown,2022-04,5.21705
pair_14d_cooldown,2022-05,-1.645825
pair_14d_cooldown,2022-06,1.805486
pair_14d_cooldown,2022-07,0.732253
pair_14d_cooldown,2022-08,5.694501
pair_14d_cooldown,2022-09,0.643812
pair_14d_cooldown,2022-10,2.257677
pair_14d_cooldown,2022-11,0.196202
pair_14d_cooldown,2022-12,-3.588121
pair_14d_cooldown,2023-01,0.955061
pair_14d_cooldown,2023-02,-1.944174
pair_14d_cooldown,2023-03,-0.049845
pair_14d_cooldown,2023-04,-2.518325
pair_14d_cooldown,2023-05,0.763155
pair_14d_cooldown,2023-06,4.220263
pair_14d_cooldown,2023-07,-0.629441
pair_14d_cooldown,2023-08,-5.075111
pair_14d_cooldown,2023-09,-3.415744
pair_14d_cooldown,2023-10,13.693925
pair_14d_cooldown,2023-11,0.831004
pair_14d_cooldown,2023-12,2.401722
pair_14d_cooldown,2024-01,-3.581161
pair_14d_cooldown,2024-02,21.457618
pair_14d_cooldown,2024-03,-1.379119
pair_14d_cooldown,2024-04,3.307107
pair_14d_cooldown,2024-05,3.537238
pair_14d_cooldown,2024-06,-5.744329
pair_14d_cooldown,2024-07,-2.242987
pair_14d_cooldown,2024-08,3.750256
pair_14d_cooldown,2024-09,-4.533289
pair_14d_cooldown,2024-10,-2.133119
pair_14d_cooldown,2024-11,15.881353
pair_14d_cooldown,2024-12,1.475755
pair_14d_cooldown,2025-01,-0.341583
pair_14d_cooldown,2025-02,-2.346959
pair_14d_cooldown,2025-03,2.841737
pair_14d_cooldown,2025-04,-0.763376
pair_14d_cooldown,2025-05,-0.702999
pair_14d_cooldown,2025-06,4.298004
pair_14d_cooldown,2025-07,12.721339
pair_14d_cooldown,2025-08,-4.723434
pair_14d_cooldown,2025-09,11.799334
pair_14d_cooldown,2025-10,-2.244475
pair_14d_cooldown,2025-11,4.267301
pair_14d_cooldown,2025-12,-0.417567
pair_14d_cooldown,2026-01,0.642584
pair_14d_cooldown,2026-02,1.807476
pair_14d_cooldown,2026-03,2.510367
pair_14d_cooldown,2026-04,-0.990735
pair_14d_cooldown,2026-05,2.686842
pair_14d_cooldown,2026-06,0.424138
pair_14d_max2,2020-02,-1.084125
pair_14d_max2,2020-06,-1.030742
pair_14d_max2,2020-07,6.898934
pair_14d_max2,2020-08,-1.010562
pair_14d_max2,2020-09,1.030711
pair_14d_max2,2020-10,0.935518
pair_14d_max2,2020-11,0.867964
pair_14d_max2,2020-12,1.786766
pair_14d_max2,2021-02,3.979843
pair_14d_max2,2021-03,-3.866815
pair_14d_max2,2021-04,2.900696
pair_14d_max2,2021-05,1.885058
pair_14d_max2,2021-06,-1.070593
pair_14d_max2,2021-07,1.911399
pair_14d_max2,2021-08,0.283098
pair_14d_max2,2021-09,-4.540482
pair_14d_max2,2021-10,-1.269777
pair_14d_max2,2021-11,-3.904422
pair_14d_max2,2021-12,0.55888
pair_14d_max2,2022-01,2.724835
pair_14d_max2,2022-02,3.848352
pair_14d_max2,2022-03,2.698327
pair_14d_max2,2022-04,5.21705
pair_14d_max2,2022-05,-1.645825
pair_14d_max2,2022-06,1.805486
pair_14d_max2,2022-07,0.732253
pair_14d_max2,2022-08,5.694501
pair_14d_max2,2022-09,0.643812
pair_14d_max2,2022-10,2.257677
pair_14d_max2,2022-11,0.196202
pair_14d_max2,2022-12,-3.588121
pair_14d_max2,2023-01,0.955061
pair_14d_max2,2023-02,-4.732929
pair_14d_max2,2023-03,-0.049845
pair_14d_max2,2023-04,3.35902
pair_14d_max2,2023-05,2.841996
pair_14d_max2,2023-06,6.245387
pair_14d_max2,2023-07,0.385826
pair_14d_max2,2023-08,-5.075111
pair_14d_max2,2023-09,-3.415744
pair_14d_max2,2023-10,3.923295
pair_14d_max2,2023-11,0.831004
pair_14d_max2,2023-12,5.302087
pair_14d_max2,2024-01,-3.577962
pair_14d_max2,2024-02,8.34238
pair_14d_max2,2024-03,0.642571
pair_14d_max2,2024-04,3.307107
pair_14d_max2,2024-05,4.933393
pair_14d_max2,2024-06,-2.186319
pair_14d_max2,2024-07,-2.242987
pair_14d_max2,2024-08,3.750256
pair_14d_max2,2024-09,-0.477141
pair_14d_max2,2024-10,-2.984414
pair_14d_max2,2024-11,7.946287
pair_14d_max2,2024-12,1.476612
pair_14d_max2,2025-01,-0.341583
pair_14d_max2,2025-02,-0.322988
pair_14d_max2,2025-03,2.841737
pair_14d_max2,2025-04,-0.763376
pair_14d_max2,2025-05,0.557162
pair_14d_max2,2025-06,0.514331
pair_14d_max2,2025-07,3.616012
pair_14d_max2,2025-08,-5.201818
pair_14d_max2,2025-09,-0.222022
pair_14d_max2,2025-10,-0.314917
pair_14d_max2,2025-11,4.267301
pair_14d_max2,2025-12,-0.417567
pair_14d_max2,2026-01,0.642584
pair_14d_max2,2026-02,1.807476
pair_14d_max2,2026-03,2.510367
pair_14d_max2,2026-04,-0.990735
pair_14d_max2,2026-05,2.686842
pair_14d_max2,2026-06,0.424138
pair_14d_max2_direction1,2020-02,-1.084125
pair_14d_max2_direction1,2020-06,-1.030742
pair_14d_max2_direction1,2020-07,2.939064
