policyId,candidateId,expectancyR,lossCount,maxDrawdownR,pairCount,profitFactor,stopHitRatePct,targetHitRatePct,totalR,tradeCount,winCount,winRatePct
raw_baseline,v13_7_20_lf_research_candidate_090,0.196571,117,25.5861,20,1.3856,67.6329,32.3671,40.6901,207,90,43.4783
raw_baseline,v13_7_20_lf_research_candidate_117,0.605504,15,7.1615,15,2.4289,52.7778,47.2222,21.7981,36,21,58.3333
raw_baseline,v13_7_40_1h_short_rejection_2149_asset_filter_top10,0.281784,107,10.9678,10,1.517,46.1187,40.6393,61.7107,219,112,51.1416
pair_7d_cooldown,v13_7_20_lf_research_candidate_090,0.277476,102,18.2542,20,1.581,65.445,34.555,52.9979,191,89,46.5969
pair_7d_cooldown,v13_7_20_lf_research_candidate_117,0.584261,15,7.1615,15,2.3405,51.4286,48.5714,20.4491,35,20,57.1429
pair_7d_cooldown,v13_7_40_1h_short_rejection_2149_asset_filter_top10,0.269541,95,13.3798,10,1.4914,46.6321,39.8964,52.0214,193,98,50.7772
pair_14d_cooldown,v13_7_20_lf_research_candidate_090,0.296137,92,16.2316,20,1.628,64.5714,35.4286,51.8239,175,83,47.4286
pair_14d_cooldown,v13_7_20_lf_research_candidate_117,0.453522,15,7.1615,15,1.9513,56.25,43.75,14.5127,32,17,53.125
pair_14d_cooldown,v13_7_40_1h_short_rejection_2149_asset_filter_top10,0.28558,86,11.3456,10,1.5282,46.2857,40.5714,49.9764,175,89,50.8571
pair_14d_max2,v13_7_20_lf_research_candidate_090,0.132464,63,17.9304,20,1.2485,69.7248,30.2752,14.4386,109,46,42.2018
pair_14d_max2,v13_7_20_lf_research_candidate_117,0.175018,10,4.1083,10,1.2923,64.7059,35.2941,2.9753,17,7,41.1765
pair_14d_max2,v13_7_40_1h_short_rejection_2149_asset_filter_top10,0.311549,77,7.9132,10,1.5886,45.5696,41.1392,49.2247,158,81,51.2658
pair_14d_max2_direction1,v13_7_20_lf_research_candidate_090,-0.032737,44,17.1455,19,0.9445,75.3623,24.6377,-2.2588,69,25,36.2319
pair_14d_max2_direction1,v13_7_20_lf_research_candidate_117,-0.098285,6,4.1703,7,0.8557,77.7778,22.2222,-0.8846,9,3,33.3333
pair_14d_max2_direction1,v13_7_40_1h_short_rejection_2149_asset_filter_top10,0.289646,82,11.5509,10,1.5364,46.1078,40.7186,48.3708,167,85,50.8982
pair_14d_max2_direction1_loss21d,v13_7_20_lf_research_candidate_090,-0.018392,43,17.1455,19,0.9685,75.0,25.0,-1.2507,68,25,36.7647
pair_14d_max2_direction1_loss21d,v13_7_20_lf_research_candidate_117,-0.093731,6,4.1703,7,0.8623,77.7778,22.2222,-0.8436,9,3,33.3333
pair_14d_max2_direction1_loss21d,v13_7_40_1h_short_rejection_2149_asset_filter_top10,0.312889,77,11.5509,10,1.592,45.3416,41.6149,50.3751,161,84,52.1739
