logicalRole,actualPath,exists,sizeBytes,sha256,schemaFingerprint,authoritative,selectedBy,ambiguity,missingReason
v16Preregistration,research\preregistrations\advisory_r_v16_correction_8ec939e8f7ce17a3d259c72c134d02.json,True,12502,1e5197ccee1a0f0dd29f866e0815baad8e361fa3b3e4ac89aed4e526badef604,,True,frozen_v17_identity,,
v17Phase0Audit,reports\formal_validation\v13_27_1_17_s01_readiness_audit\phase0_readiness_audit.json,True,15098,594488982ba5141dae9f491707f0c22905f6053c435b855e5016b66ba7b7d39d,,True,frozen_v17_identity,,
v17Phase1Audit,reports\formal_validation\v13_27_1_17_s01_phase1_readiness\phase1_readiness_audit.json,True,13962,7b66a939644cc72aa25c3c7fd41fc753fbd4cdadb6b04a0aa042f9a2368a0a92,,True,frozen_v17_identity,,
v17Phase2Audit,reports\formal_validation\v13_27_1_17_s01_phase2_readiness\phase2_readiness_audit.json,True,9682,8d4928106672e42dd05dcb875205376e312337a3a6ecfafcbfe7edc6398e9c59,,True,frozen_v17_identity,,
formalPreregistration,research\preregistrations\advisory_r_v17_s01_formal_walk_forward.json,True,12793,1385088443a13be03f518ae52c79e6f69e67428bb1c412b4cc0e442103faaacd,,True,frozen_v17_identity,,
dataSnapshot,research\data_snapshots\minimal_snapshot_785e47b180c17327dcb35e37.json,True,27830,2c9da2f780b66ea50ce86a218834533e89929dc31efd65841adf775167ccbbc4,,True,frozen_v17_identity,,
s01FreqtradeSource,user_data\strategies\AlphaPilotS01BearRecovery4H.py,True,8976,e2b6b05c1798e98c7bb7d01db589d36481842bcf56ad7fe447e6a716ee678ab4,,True,frozen_v17_identity,,
runtimeManifest,reports\formal_validation\v13_27_1_17_s01_phase2_readiness\freqtrade_runtime_manifest.json,True,794,dbad3404140ba78b1201783c8e3cdee67ce350ab840dd49a506dcf92ef599548,,True,frozen_v17_identity,,
ioGuard,reports\formal_validation\v13_27_1_17_s01_phase2_readiness\freqtrade_io_guard_readiness.json,True,913,6235aa9f9daebbf1da153f926d420b9efe190b42fae596cc1f0b907c7a222dbd,,True,frozen_v17_identity,,
dualEngineReadinessParity,reports\formal_validation\v13_27_1_17_s01_phase2_readiness\dual_engine_readiness_parity.json,True,1322,304d4be96e9ddf9acafabe787347397f732e144448d41360203f10aeb31558fa,,False,frozen_v17_identity,,
formalResult,reports\formal_validation\advisory_r_v17\s01_formal_metric_summary.json,False,,,,True,,,implementation_invalid_requires_new_campaign
