gateId,status,passed,actual,threshold,reason
translation_parity,failed,false,0.0,100.0,
capital_policy_parity,passed,true,100.0,100.0,
ranking_evidence_complete,failed,false,417,0,
point_in_time_context_complete,failed,false,417,0,
fold_assignment_complete,failed,false,467,0,
complete_fold_count,passed,true,5,5,
minimum_profit_factor,not_evaluable,,null,1.05,undefined_no_losses
positive_average_net_r,failed,false,0.0,0.0,
positive_total_net_r,failed,false,0,0.0,
maximum_drawdown,passed,true,0.0,25.0,
positive_fold_minimum,failed,false,0,3,
cost_1_5x_profit_factor,not_evaluable,,null,1.0,undefined_no_losses
cost_1_5x_average_net_r,failed,false,0.0,0.0,
cost_1_5x_total_net_r,failed,false,0,0.0,
conservative_funding_average_net_r,not_evaluable,,null,0.0,registered_same_exchange_funding_history_unavailable
benchmark_total_incremental_net_r,failed,false,0,0.0,
benchmark_positive_increment_fold_minimum,failed,false,0,3,
single_symbol_concentration,passed,true,0.0,0.35,
single_month_concentration,passed,true,0.0,0.35,
