gateId,status,actual,threshold,reason
translation_parity,passed,100.0,100.0,
capital_policy_parity,passed,100.0,100.0,
ranking_evidence_complete,passed,0,0,
point_in_time_context_complete,passed,0,0,
fold_assignment_complete,passed,0,0,
complete_fold_count,passed,5,5,
minimum_profit_factor,not_evaluable,,1.05,undefined_no_losses
positive_average_net_r,failed,0.0,0.0,
positive_total_net_r,failed,0,0.0,
maximum_drawdown,passed,0.0,25.0,
positive_fold_minimum,failed,0,3,
cost_1_5x_profit_factor,not_evaluable,,1.0,undefined_no_losses
cost_1_5x_average_net_r,failed,0.0,0.0,
cost_1_5x_total_net_r,failed,0,0.0,
conservative_funding_average_net_r,not_evaluable,,0.0,registered_same_exchange_funding_history_unavailable
benchmark_total_incremental_net_r,failed,0,0.0,
benchmark_positive_increment_fold_minimum,failed,0,3,
single_symbol_concentration,passed,0.0,0.35,
single_month_concentration,passed,0.0,0.35,
